what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1586360852647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586360868199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586360872825
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586360874662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586360880583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586360882738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586360895143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1586360900793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586360903008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586360953840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586360955864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586360962649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586360963225
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586361135577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586361136290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586361137381
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1586361137657
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586361137916
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1586361138403
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1586361138924
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1586361138924
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1586361138946
stopped,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1586361138946
stopped,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1586361138946
stopped,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1586361138946
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1586361138946
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1586361138946
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1586361138946
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1586361138978
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1586361138982
stopped,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1586361139018
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1586391438840
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1586391438841
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1586391438854
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1586391438901
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1586391438905
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1586391438916
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1586391438921
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1586391439070
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1586391439070
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1586391439109
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1586391439134
