what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1586933220087
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586933220849
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586933226886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586933226951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586933227688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586933234658
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586933236308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586933263679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586933278544
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1586933291550
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586933328619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586933333987
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586933335273
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586933336735
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1586933337359
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586933359602
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586933359733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586933372430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586933402577
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586933404373
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1586933425250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586933433462
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586933456557
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586933464240
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586933467176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586933481045
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586933481258
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1586933488445
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1586933494667
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1586933500974
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1586933505198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586933513696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586933515118
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1586933558669
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1586933585100
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1586933601992
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1586933607526
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586933614200
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586933624049
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1586933628139
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586933628214
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586933670105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586933676675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586933680772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586933685346
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1586933690386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1586933691915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586933702071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586933736952
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586933745351
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1586933758837
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586933759899
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586933760024
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586933760911
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1586933762972
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1586933766399
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1586933769324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1586933775973
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586933781545
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1586933787632
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1586933788071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586933788154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586933798877
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1586933801725
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586933801783
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1586933812260
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586933812422
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586933828550
