what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1588729956914
java.specification.name,sysinfo,,,"Java Platform API Specification",1588729956914
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1588729956914
java.specification.version,sysinfo,,,"1.6",1588729956914
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1588729956914
java.version,sysinfo,,,"1.6.0_23",1588729956914
java.vm.info,sysinfo,,,"mixed mode",1588729956914
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1588729956914
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1588729956914
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1588729956914
java.vm.specification.version,sysinfo,,,"1.0",1588729956914
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1588729956914
java.vm.version,sysinfo,,,"19.0-b09",1588729956914
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1588729957034
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1588729957964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588729958514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588729960845
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1588729962235
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1588729962495
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1588729962575
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1588729962575
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1588729962625
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1588729963375
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1588729966725
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1588729975582
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1588729976585
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1588729977805
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1588729977885
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1588729977955
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1588729981799
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1588729985522
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1588729996253
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588730008656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588730249185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588730271044
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588730278779
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1588730306180
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1588730306274
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1588730310875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588730319117
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588730326297
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1588730329824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588730337486
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588730338671
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588730338827
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1588730339602
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1588730339738
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1588730339775
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1588730339812
stopped,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1588730339812
