what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1582970418540
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1582970423909
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1582970929081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1582970930084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1582970980633
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1582970981828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1582970983389
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1582970983609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1582970995119
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1582970995477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1582970996171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1582970997475
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1582970997680
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1582970998011
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1582970998324
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1582970998324
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1582970998325
stopped,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1582970998325
stopped,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1582970998325
stopped,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1582970998325
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1582970998325
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1582970998325
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1582970998325
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1582970998325
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1582970998326
stopped,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1582970998326
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1582970998327
